geographic_label,appelation_share
California,75.36
New York,2.52
Texas,0.26
Other_States,0.11
Nebraska,0.1
Washington,0.07
Ohio,0.04
Missouri,0.01
Michigan,0.01
Oregon,0.01
Indiana,0
North Carolina,0
Florida,0
