geographic_label,appelation_share
Italy,7.66
Australia,6.42
Chile,2.5
Argentina,2.49
France,2.44
Spain,2.41
Other_Countries,1.66
New Zealand,1.44
Germany,1.27
Portugal,0.93
South Africa,0.51
