geographic_label,appelation_share
Australia,7.03
Italy,3.45
Chile,2.59
Argentina,1.72
Other_Countries,1.37
Spain,0.92
Portugal,0.29
Germany,0.29
France,0.2
New Zealand,0.14
South Africa,0.02
