appellation_label,year,appelation_share,average_price
Imported,2015,24.2001526575909,7.09159651680228
Imported,2016,24.1794476186464,7.23686244498145
Imported,2017,25.8766694909914,7.01408952593009
AVA,2009,8.99179076422628,10.6598342127003
AVA,2011,9.20060241279338,10.0275359321433
AVA,2012,8.86214939696217,9.74397854239321
State_Appellation,2015,66.7979912873328,4.60808162073957
AVA,2019,10.0385505771382,11.2594450352496
State_Appellation,2019,63.1210402386788,4.64978891143089
Imported,2007,20.0856231394958,8.25543991308353
Imported,2009,22.0751882527999,8.10504904502725
Imported,2008,19.3092523976224,8.26202209080421
Imported,2010,19.9029737170325,8.15493726089854
Imported,2011,20.9048700183662,7.42066610613908
Imported,2012,21.3228512342336,7.4974078881971
Imported,2013,21.9827253502542,7.43141887103272
Imported,2014,24.71615583123,6.75881478899815
Imported,2018,26.825265832807,6.93591067323453
Imported,2019,26.840409184183,7.03191903451269
State_Appellation,2018,63.1961723214345,4.59007595236339
AVA,2015,9.00185605507626,11.1121374832379
AVA,2016,9.34838453619454,10.8896706270467
AVA,2017,9.62726062003024,10.922462529504
State_Appellation,2017,64.4960698889784,4.59128313022516
AVA,2018,9.97856184575856,10.7094417230474
State_Appellation,2012,69.8149993688042,4.2667090751861
State_Appellation,2014,66.4920256554721,4.45583483068509
AVA,2008,9.16243809736207,10.324021411949
AVA,2010,8.95878785401441,10.2383601275211
AVA,2013,8.54950994874333,10.3255903674787
State_Appellation,2008,71.5283095050156,4.18867505445762
State_Appellation,2009,68.9330209829738,4.31677691694914
State_Appellation,2007,70.2053554534491,4.23104988159288
State_Appellation,2010,71.1382384289531,4.25204654043777
State_Appellation,2011,69.8945275688404,4.21981713166191
State_Appellation,2013,69.4677647010025,4.44029332145871
AVA,2014,8.7918185132979,10.6939142150654
State_Appellation,2016,66.4721678451591,4.53404995842333
AVA,2007,9.70902140705513,10.4254231884514
