geographic_label,appelation_share
St_Helena,1.14
Paso_Robles,0.76
Monterey_County,0.6
Napa_Valley,0.45
Santa_Barbara_County,0.13
Lodi,0.12
Columbia_Valley,0.11
Central_Coast,0.06
Sonoma County,0.03
Finger_Lakes,0.02
Napa_County,0.02
Snake_River_Valley,0.01
Lake_Erie,0
North_Coast,0
Rutherford,0
Eagle_Peak,0
Mendocino,0
Carneros,0
Yakima_Valley,0
Other_AVAs,0
Arroyo_Seco,0
Lake_County,0
Sonoma_Coast,0
Horse_Heaven_Hills,0
Dunnigan_Hills,0
