attribute,Estimate,Std. Error,t value,Pr(>|t|)
size_f2,-2.40680481858296,0.264691105193247,-9.09288136760694,1.83992331509029e-19
winetype_f2,-2.15323345765165,0.292924118975703,-7.35082336402027,2.60967761668473e-13
winetype_f3,-1.68403904629012,0.309283745555336,-5.44496460124775,5.65614188153553e-08
Cabernet_Sauvignon,1.71030121664294,0.388413832791147,4.40329636139036,1.1083637365255e-05
Cabernet_Blend,0.484577038953006,0.579342683716619,0.836425577767429,0.402990801062406
Carmenere,0.82894337620622,0.471814819185045,1.75692526495466,0.0790458059764754
Concord,-3.08904981993401,0.827942955264253,-3.73099354284388,0.000194722797909207
Malbec,0.406620414951526,0.542413405394005,0.749650379042826,0.453531718064678
Moscato_Red,0.0400475287283941,0.786130315879233,0.0509426082666762,0.959375085193748
Petite_Syrah,1.70601690304793,1.09754449712408,1.55439429336874,0.120209580079226
Pinot_Noir,1.17526213592799,0.379810413062744,3.09433890042882,0.00199306685946844
Syrah,-0.0270031160655698,0.341268387448099,-0.0791257469450683,0.936938567599627
Syrah_Blend,1.15448652867054,1.60111507748693,0.721051562691292,0.470941275952722
Zinfandel,1.01185500682573,0.681556394726263,1.48462403794498,0.137762154714276
Other_Red,1.56580832145011,0.419106451887907,3.73606350939426,0.000190860686778623
Other_Red_Imported,-0.150102921317309,0.360802679146358,-0.41602496320827,0.677425360944541
Chardonnay,0.833711663018794,0.317091766579579,2.6292441207538,0.00860685260923585
Chenin_Blanc,-0.519256741983173,0.743672916880518,-0.698232691007892,0.485092833556503
Gewurztraminer,-0.364839391717153,0.534028824406267,-0.683182957629266,0.494550850841226
Liebfraumilch,-2.7067812941323,1.07967268193238,-2.50703879002267,0.0122340279290954
Moscato_White,0.929172978031868,0.338834738330896,2.74226008410172,0.00614273506289641
Pinot_Grigio,0.579757684145761,0.321475731367542,1.80342597458135,0.0714346649867406
Riesling,0.23009730089108,0.374177192886216,0.614942078955225,0.538645671585888
Viognier,2.99866961041494,0.868887979195035,3.45115789631824,0.000566906746840467
Other_White,0.0973856609081894,0.377485379862101,0.257985252154044,0.796438284083224
Other_White_Imported,0.723968769269818,0.350491442927072,2.06558186763052,0.0389648078078163
Dessert,2.51014313328844,0.960332511266775,2.61382708992879,0.00900400621113452
Flavoured,0.381716951494336,0.570862748655489,0.668666772167855,0.503766199195265
Sangria,-0.122451786727185,0.353102541576809,-0.346788177112423,0.728777942783713
Sparkling,4.76960967782575,0.908127060728953,5.25213913788362,1.62255412596195e-07
Vermouth,-1.95628595452482,0.956986373784553,-2.04421505688569,0.0410307641311106
Other_Specialty,1.1165185497346,0.795770316439694,1.40306634548766,0.160713986961732
Other_Specialty_Imported,1.68853929871813,0.560475915056366,3.01268841953417,0.00261389591916314
Alexander_Valley,6.96446205323896,1.18423352443753,5.88098707689163,4.58933406366629e-09
Amador_County,0.117731742248904,0.837895210357164,0.140508909459836,0.888268572243356
Anderson_Valley,9.83221035212595,1.21284270118473,8.10674817313211,7.85189856726851e-16
Arroyo_Seco,4.41090930086562,1.34850164674483,3.27097064472496,0.00108549842165967
Augusta,-2.07625763268197,0.69512266784363,-2.9868938659745,0.00284406085986535
Carneros,9.27410597547857,1.43832553440196,6.44784908121281,1.34305375632391e-10
Central_Coast,0.16389366672759,0.348703030620241,0.470009298273292,0.638386976512786
Chalk_Hill,15.3943966422939,7.74976431744118,1.98643416905572,0.0470877868067575
Chalone,6.27852404008751,2.44041635949941,2.57272658235064,0.0101439517843467
Clarksburg,1.03110814772983,0.873968121410961,1.17980063856926,0.238185215492633
Columbia_Valley,0.39312456476445,0.423611218514216,0.928031524149205,0.353475575481676
Contra_Costa_County,-0.869963471024285,1.61246151480061,-0.539525106825178,0.589569820466213
Dry_Creek_Valley,6.5603583850142,1.48555514570879,4.41609885971894,1.045191087086e-05
Dunnigan_Hills,-0.436655011266836,1.09000888097848,-0.400597663823492,0.688748598163155
Eagle_Peak,-1.91204286189014,1.05314832409244,-1.81554945124929,0.0695522759894743
Edna_Valley,6.52186111793243,2.49676001312134,2.61212975362382,0.00904871635257841
Eola_Hills,1.87053734086021,1.5547110354457,1.20314148302419,0.229028847337061
Finger_Lakes,2.24694352161411,1.06835891043278,2.10317291284058,0.0355445352632457
Guenoc,-2.8250898504011,0.630893024265613,-4.47792215437732,7.85563217634442e-06
Horse_Heaven_Hills,2.02604074758763,1.11476897775393,1.81745347064623,0.0692603787535099
Knights_Valley,12.3074611672403,5.0038912200817,2.45957808152339,0.0139733664284563
Lake_County,0.743996624471257,0.801331147131849,0.928450899648908,0.353258124606889
Lake_Erie,-0.923308533476242,0.804756397269713,-1.14731431350995,0.251355115821316
Livermore_Valley,7.24691912111879,2.80227589442979,2.58608338155562,0.00976012857916312
Lodi,-0.57476317648357,0.482563311421255,-1.1910627328687,0.233735427749993
Mendocino,0.831935957034664,0.558880063480032,1.48857690835198,0.13671757940055
Mendocino_County,-0.0505699933480223,1.15423007244398,-0.0438127497760866,0.965056958659977
Monterey_County,0.664973957768626,0.371119031524986,1.79180775245113,0.0732776063024171
Napa_County,2.95296282649276,1.06753428267879,2.76615268886993,0.00571145842421659
Napa_Valley,6.17819339328571,1.06601403247111,5.7956023139434,7.61106882027818e-09
North_Coast,0.653947979826598,0.463274075446103,1.41157905111977,0.158191122326532
Oakville,17.0285514570554,4.49700758612537,3.78664058953194,0.00015608234968177
Old_Mission_Peninsula,2.00764884074238,0.851071002196603,2.35896750748253,0.0183979159618562
Ohio_River_Valley,0.410258138955842,1.35371310766795,0.303061362582649,0.7618668417882
Paso_Robles,1.58649973727961,0.650009838025677,2.44073188507177,0.0147224751179307
Red_Hills_Lake_County,1.7459333242487,0.838840628220403,2.08136476168625,0.0374961349582614
Russian_River_Valley,6.55280378852011,1.02933751298884,6.36604000712365,2.27761479222754e-10
Rutherford,6.27502029881883,2.66301319418009,2.35636094951863,0.0185272593682542
Saint_Lucia_Highlands,5.20440538706461,1.42000059646574,3.66507267674248,0.000252111878940466
San_Antonio,-1.4274010475628,1.05768976883257,-1.34954604802342,0.177276699605403
Santa_Barbara_County,2.42803598636849,0.908046361378722,2.67391191643774,0.00754314802182093
Santa_Maria_Valley,9.03384442853428,2.14093552350331,4.21957799726345,2.52970655742895e-05
Sierra_Foothills,2.5649820898472,1.05221568582553,2.43769611534996,0.0148463984768684
Snake_River_Valley,-2.02186812861961,0.851414935044285,-2.37471536544569,0.0176331657316946
Sonoma_County,2.78040427517012,0.648314154774914,4.28866816294554,1.86167837162798e-05
Sonoma_Coast,5.4199499262328,1.50445965153381,3.60258908951603,0.000320847042284456
Sonoma_Mountain,2.26249501137441,1.19281040986351,1.8967767154491,0.0579658502616922
Sonoma_Valley,12.0151068215348,2.04356277072444,5.87948997391229,4.63049351161e-09
St_Helena,3.15510466331331,0.971941271759747,3.24618858668368,0.00118415612751242
Texas_High_Plains,0.571790631106795,0.906169760166286,0.630997254865213,0.528096633317169
Wahluke_Slope,2.60134167879838,1.39337861806542,1.86693095837089,0.0620213658503335
Walla_Walla,4.29625545914938,2.46983978157141,1.73948751299808,0.0820649364056707
Willamette_Valley,4.81877171867019,0.755640571512754,6.37706854334628,2.12185257611938e-10
Yakima_Valley,2.11412670650058,0.612024043085362,3.45431969607395,0.000560330820919389
Other_AVAs,5.18589663237443,1.39270888519667,3.72360418426002,0.000200483519605328
Florida,0.690045465287014,0.731685654306052,0.943090056810625,0.345720648227293
Indiana,1.04457612259476,0.991055460848821,1.05400369995449,0.291977130980413
Michigan,0.450077798637143,0.904537791995192,0.497577660790027,0.618822958236786
Missouri,0.99161711292614,0.867017990945723,1.14370996136367,0.252847048970446
Nebraska,2.83299555619893,1.68927650238256,1.67704668371534,0.09365106928008
New_York,-1.86804887268372,0.506453853259879,-3.68848782699489,0.000230117412070031
North_Carolina,-0.0963655514532964,0.627350837965884,-0.153607113629992,0.877931201406152
Ohio,-0.891354699657621,0.722582675422151,-1.23356777013353,0.217473202202994
Oregon,1.0233386722248,0.696132472732606,1.47003438613885,0.141670930003559
Texas,-0.853029419615642,0.727883181254819,-1.17193176265604,0.241329604715788
Washington,0.124863307494346,0.582719445416675,0.214276884831022,0.83034759756333
Other_States,-0.194351743201477,0.551305938720902,-0.352529747189731,0.724468995289284
Argentina,-0.279028215098797,0.404401524851287,-0.689978147835633,0.490268233995232
Australia,-0.853431667269327,0.34833196228543,-2.45005270739413,0.014347670786514
Chile,-1.42757226522096,0.301242880510868,-4.73894109231723,2.2616168387698e-06
France,3.48987502801609,1.80771750915508,1.93054225029177,0.0536460571311647
Germany,0.84010221210119,0.574416011810985,1.46253271988809,0.143713643173673
Italy,1.58497089010904,0.528350814767941,2.99984564385535,0.0027262729920186
New_Zealand,0.0351523067923655,1.27171887948225,0.0276415702868835,0.977950103442661
Portugal,0.168754575664336,0.93328854846792,0.180817150217221,0.856524901948691
South_Africa,-1.50459705595398,0.551440383661684,-2.72848543656366,0.00640450685041593
Spain,-0.17906980686392,0.590624346326471,-0.303187310136617,0.761770873157326
Other_Countries,-0.0279660895744329,0.568151641115615,-0.0492229319614725,0.960745338786897
