geographic_label,appelation_share
California,46.76
New York,1.85
Washington,1.37
Other_States,0.56
North Carolina,0.39
Michigan,0.36
Indiana,0.36
Oregon,0.32
Texas,0.3
Missouri,0.23
Ohio,0.17
Florida,0.15
Nebraska,0.14
