metric,R,stata,diff
own nested,-4.75939517115795,-4.755,0.00439517115794974
own logit-IV,-2.09972812914335,-2.089,0.0107281291433505
own logit-OLS,-0.127111183668538,-0.1271,1.11836685378064e-05
agg nested,-0.528988264115742,-0.5283,0.000688264115741522
agg logit-IV,-0.661443210884597,-0.6581,0.00334321088459677
agg logit-OLS,-0.0400417693596176,-0.04004,1.76935961757746e-06
