brand_descr
14 Hands
Andre
Apothic Red
Arbor Mist
Barefoot
Bay Bridge Vineyards
Beaulieu Vineyard Bv
Beringer
Blackstone
Bogle
Boone'S Farm
Charles Shaw
Chateau Ste Michelle
Clos Du Bois
Columbia Crest
Concha Y Toro Frontera
Cook'S
Crane Lake
Ctl Br
Cupcake Vineyards
Duplin
Ecco Domani
Fetzer
Fox Brook
Francis Coppola
Gallo Family Vineyards
Gnarly Head
H R M Rex-Goliath
Jacob'S Creek
Kendall-Jackson
Korbel
Lindemans
Martini & Rossi
Menage A Trois
Meridian
Mirassou
Oak Creek
Oak Leaf Vineyards
Ravenswood
Robert Mondavi
Rodney Strong
Santa Rita
Smoking Loon
Stella Rosa
Sterling Vintner'S Collection
Sutter Home
Tisdale
Turning Leaf
Winking Owl
Yellow Tail
